,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
0,MSFT,Microsoft Corporation,394.94,5.61,1.44%,23.021M,20.917M,2.935T,34.25,
1,AAPL,Apple Inc.,169.30,-1.03,-0.60%,49.377M,61.033M,2.614T,26.33,
2,NVDA,NVIDIA Corporation,830.41,-33.61,-3.89%,55.335M,54.083M,2.076T,69.43,
3,AVGO,Broadcom Inc.,1242.86,-57.41,-4.42%,3.038M,2.975M,575.967B,46.08,
4,ORCL,Oracle Corporation,114.63,0.88,0.77%,5.581M,8.492M,315.062B,30.25,
5,CRM,"Salesforce, Inc.",268.69,-0.25,-0.09%,3.759M,5.721M,260.629B,64.13,
6,AMD,"Advanced Micro Devices, Inc.",144.27,-14.11,-8.91%,87.185M,64.875M,233.161B,209.09,
7,ADBE,Adobe Inc.,469.39,6.56,1.42%,2.488M,3.809M,210.287B,44.87,
8,CSCO,"Cisco Systems, Inc.",46.84,-0.14,-0.30%,17.707M,19.562M,189.664B,14.24,
9,ACN,Accenture plc,298.66,-2.25,-0.75%,2.613M,2.68M,187.776B,27.1,
10,QCOM,QUALCOMM Incorporated,164.11,-1.74,-1.05%,12.361M,8.125M,183.147B,23.41,
11,INTU,Intuit Inc.,615.20,-10.42,-1.67%,1.199M,1.275M,172.243B,62.9,
12,AMAT,"Applied Materials, Inc.",193.99,-4.66,-2.35%,5.745M,5.951M,161.186B,22.85,
13,TXN,Texas Instruments Incorporated,175.20,-1.22,-0.69%,7.077M,5.333M,159.516B,27.33,
14,IBM,International Business Machines Corporation,164.43,-1.77,-1.06%,3.907M,4.628M,151.046B,18.66,
15,UBER,"Uber Technologies, Inc.",67.79,1.52,2.29%,21.174M,19.176M,141.108B,77.92,
16,NOW,"ServiceNow, Inc.",685.61,-7.72,-1.11%,1.328M,1.2M,140.812B,73.01,
17,INTC,Intel Corporation,30.37,-0.1,-0.33%,57.909M,49.104M,129.281B,31.31,
18,MU,"Micron Technology, Inc.",109.70,-3.26,-2.89%,15.913M,22.85M,121.478B,N/A,
19,LRCX,Lam Research Corporation,868.10,-26.31,-2.94%,1.184M,1.05M,113.496B,31.86,
20,ADI,"Analog Devices, Inc.",193.89,-6.72,-3.35%,3.549M,3.486M,96.152B,34.62,
21,PANW,"Palo Alto Networks, Inc.",287.34,-3.55,-1.22%,2.981M,6.189M,92.84B,44.41,
22,SHOP,Shopify Inc.,70.40,0.2,0.28%,7.212M,9.048M,90.704B,704,
23,KLAC,KLA Corporation,666.04,-23.25,-3.37%,1.247M,938354.00,89.676B,34.83,
24,FI,"Fiserv, Inc.",148.86,-3.81,-2.50%,3.161M,2.582M,87.643B,27.93,
25,DELL,Dell Technologies Inc.,118.78,-5.86,-4.70%,7.098M,8.275M,84.784B,27.24,
26,ANET,"Arista Networks, Inc.",255.21,-1.35,-0.53%,2.214M,2.721M,80.036B,38.79,
27,SNPS,"Synopsys, Inc.",522.18,-8.41,-1.59%,737322.00,1.046M,79.655B,57.57,
28,CDNS,"Cadence Design Systems, Inc.",274.55,-1.08,-0.39%,2.061M,1.612M,74.714B,71.5,
29,APH,Amphenol Corporation,119.26,-1.51,-1.25%,4.353M,2.98M,71.628B,36.47,
30,CRWD,"CrowdStrike Holdings, Inc.",295.44,2.9,0.99%,2.089M,3.539M,71.458B,777.47,
31,WDAY,"Workday, Inc.",244.96,0.23,0.09%,2.482M,1.985M,64.715B,46.93,
32,NXPI,NXP Semiconductors N.V.,249.43,-6.76,-2.64%,3.538M,2.434M,63.775B,23.05,
33,MSI,"Motorola Solutions, Inc.",336.00,-3.15,-0.93%,1.053M,654980.00,55.98B,33.77,
34,MRVL,"Marvell Technology, Inc.",63.82,-2.09,-3.17%,11.085M,14.17M,55.268B,N/A,
35,ROP,"Roper Technologies, Inc.",514.76,3.3,0.65%,767685.00,522960.00,55.1B,37.74,
36,SNOW,Snowflake Inc.,156.14,0.94,0.61%,3.375M,6.858M,52.182B,N/A,
37,PLTR,Palantir Technologies Inc.,22.12,0.15,0.68%,34.081M,68.731M,49.261B,245.78,
38,FTNT,"Fortinet, Inc.",63.53,0.35,0.55%,4.333M,5.364M,48.494B,43.51,
39,MCHP,Microchip Technology Incorporated,88.79,-3.19,-3.47%,7.279M,5.549M,47.981B,20.75,
40,ADSK,"Autodesk, Inc.",210.71,-2.14,-1.01%,1.687M,1.562M,45.074B,50.29,
41,TEAM,Atlassian Corporation,172.77,0.47,0.27%,1.659M,1.721M,44.972B,N/A,
42,SMCI,"Super Micro Computer, Inc.",738.30,-120.5,-14.03%,13.493M,10.314M,43.228B,41.18,
43,TEL,TE Connectivity Ltd.,139.45,-2.03,-1.43%,1.406M,2.146M,42.703B,12.71,
44,DDOG,"Datadog, Inc.",126.42,0.92,0.73%,4.165M,3.787M,42.251B,903,
45,TTD,"The Trade Desk, Inc.",85.41,2.56,3.09%,3.291M,4.285M,41.742B,237.25,
46,SQ,"Block, Inc.",66.84,-6.16,-8.44%,22.092M,9.716M,41.33B,"3,342.00",
47,FIS,"Fidelity National Information Services, Inc.",67.20,-0.72,-1.06%,4.425M,4.017M,37.734B,79.06,
48,IT,"Gartner, Inc.",422.39,9.8,2.38%,922716.00,414832.00,32.79B,42.03,
49,CTSH,Cognizant Technology Solutions Corporation,65.37,-0.31,-0.47%,4.87M,4.509M,32.502B,15.53,
50,MPWR,"Monolithic Power Systems, Inc.",652.59,-16.74,-2.50%,886184.00,563345.00,31.759B,74.75,
51,GRMN,Garmin Ltd.,163.42,18.95,13.12%,2.672M,1.039M,31.39B,24.39,
52,HUBS,"HubSpot, Inc.",606.09,1.22,0.20%,619941.00,531475.00,30.858B,N/A,
53,NET,"Cloudflare, Inc.",88.04,0.64,0.73%,2.73M,3.994M,29.913B,N/A,
54,ON,ON Semiconductor Corporation,69.01,-1.15,-1.64%,8.843M,7.147M,29.69B,14.08,
55,CDW,CDW Corporation,214.61,-27.25,-11.27%,2.411M,705450.00,28.837B,26.53,
56,GLW,Corning Incorporated,33.48,0.1,0.30%,9.864M,4.637M,28.541B,46.5,
57,FICO,Fair Isaac Corporation,1140.73,7.4,0.65%,240816.00,173465.00,28.188B,59.88,
58,ANSS,"ANSYS, Inc.",321.48,-3.4,-1.05%,456737.00,465737.00,28.065B,56.2,
59,MDB,"MongoDB, Inc.",373.33,8.15,2.23%,1.207M,1.399M,27.19B,N/A,
60,HPQ,HP Inc.,27.75,-0.34,-1.21%,6.136M,7.712M,27.153B,8.14,
61,FTV,Fortive Corporation,75.44,0.17,0.23%,1.995M,1.658M,26.557B,29.94,
62,GFS,GLOBALFOUNDRIES Inc.,47.04,-1.84,-3.76%,1.321M,1.606M,26.039B,25.7,
63,ZS,"Zscaler, Inc.",172.31,-0.63,-0.36%,1.118M,2.379M,25.822B,N/A,
64,KEYS,"Keysight Technologies, Inc.",144.95,-2.99,-2.02%,978199.00,1.315M,25.302B,26.65,
65,WDC,Western Digital Corporation,70.51,-0.32,-0.45%,7.542M,6.838M,23.023B,N/A,
66,APP,AppLovin Corporation,69.74,-0.83,-1.18%,2.645M,4.4M,22.942B,71.16,
67,BR,"Broadridge Financial Solutions, Inc.",193.43,0.02,0.01%,306041.00,465955.00,22.781B,33.7,
68,HPE,Hewlett Packard Enterprise Company,16.44,-0.56,-3.29%,9.133M,15.369M,21.369B,11.34,
69,PTC,PTC Inc.,174.96,-2.48,-1.40%,1.98M,810036.00,20.917B,88.36,
70,NTAP,"NetApp, Inc.",100.99,-1.22,-1.19%,968267.00,1.913M,20.842B,23,
71,TYL,"Tyler Technologies, Inc.",458.53,-3.02,-0.65%,256717.00,228178.00,19.467B,104.21,
72,IOT,Samsara Inc.,35.25,0.32,0.92%,3.296M,3.994M,19.406B,N/A,
73,LDOS,"Leidos Holdings, Inc.",142.19,1.97,1.40%,1.758M,966114.00,19.226B,60.51,
74,FSLR,"First Solar, Inc.",177.58,1.28,0.73%,2.368M,2.143M,19.008B,22.94,
75,ZM,"Zoom Video Communications, Inc.",61.61,0.51,0.83%,2.445M,3.505M,18.949B,29.76,
76,ENTG,"Entegris, Inc.",123.31,-9.61,-7.23%,2.962M,1.463M,18.587B,59,
77,TDY,Teledyne Technologies Incorporated,383.03,1.55,0.41%,333869.00,244322.00,18.164B,20.75,
78,MSTR,MicroStrategy Incorporated,1028.27,-36.76,-3.45%,1.911M,2.404M,18.146B,N/A,
79,STX,Seagate Technology Holdings plc,85.81,-0.1,-0.12%,2.014M,2.877M,18.019B,N/A,
80,TER,"Teradyne, Inc.",113.74,-2.58,-2.22%,3.359M,1.955M,17.399B,43.25,
81,GDDY,GoDaddy Inc.,122.29,-0.09,-0.07%,1.691M,1.444M,17.361B,13.48,
82,VRSN,"VeriSign, Inc.",171.08,1.6,0.94%,1.328M,698427.00,17.04B,21.07,
83,CHKP,Check Point Software Technologies Ltd.,148.97,-0.45,-0.30%,502935.00,737454.00,16.82B,20.75,
84,PSTG,"Pure Storage, Inc.",50.13,-0.27,-0.54%,3.898M,3.734M,16.288B,263.84,
85,ZBRA,Zebra Technologies Corporation,309.05,-5.51,-1.75%,580033.00,384195.00,15.891B,61.32,
86,OKTA,"Okta, Inc.",93.34,0.36,0.39%,950967.00,2.006M,15.625B,N/A,
87,AKAM,"Akamai Technologies, Inc.",100.89,-0.04,-0.04%,761677.00,1.703M,15.457B,28.66,
88,BSY,"Bentley Systems, Incorporated",51.47,-1.06,-2.02%,1.06M,1.457M,15.437B,51.47,
89,SSNC,"SS&C Technologies Holdings, Inc.",61.22,-0.67,-1.08%,1.054M,1.032M,15.135B,24.29,
90,NTNX,"Nutanix, Inc.",61.11,0.41,0.68%,2.296M,2.636M,14.931B,N/A,
91,SWKS,"Skyworks Solutions, Inc.",90.30,-16.29,-15.28%,9.069M,2.44M,14.488B,17.01,
92,ENPH,"Enphase Energy, Inc.",105.16,-3.6,-3.31%,4.345M,4.267M,14.308B,54.49,
93,TRMB,Trimble Inc.,58.59,-1.48,-2.46%,1.031M,1.5M,14.308B,46.87,
94,JBL,Jabil Inc.,114.38,-2.98,-2.54%,1.633M,1.36M,13.794B,9.91,
95,EPAM,"EPAM Systems, Inc.",234.98,-0.28,-0.12%,336383.00,512968.00,13.611B,33.33,
96,DT,"Dynatrace, Inc.",45.58,0.27,0.60%,1.972M,3.917M,13.492B,69.06,
97,MANH,"Manhattan Associates, Inc.",207.77,1.71,0.83%,480938.00,393640.00,12.792B,68.12,
98,TOST,"Toast, Inc.",23.00,-0.63,-2.67%,6.761M,7.537M,12.731B,N/A,
99,GEN,Gen Digital Inc.,19.95,-0.19,-0.94%,5.409M,4.04M,12.706B,9.03,
